Product Name,Price,URL
"Nec new Laptop VersaPro X360, 4GB RAM, 128GB SSD , 11"" windows 11 , Black",12999,https://www.jumia.co.ke/customer/account/login/?tkWl=NE857CL5RR1L5NAFAMZ-456834487&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"HP EliteBook 820 G1 Intel Core I5 8GB RAM 500GB HDD Storage Slim Ultrabook Refurbished Laptop, Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.",19999,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL4U9NHBNAFAMZ-423561248&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"HP 8GB RAM 256GB HDD Refurbished Elitebook 840 Core I5, Slim -14"", Black win 11",18000,
"Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth, HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad + Free Extension.",19999,
HP Refurbished EliteBook 840 G3 Core I7 8GB 256GB SSD 6th Gen 14Inch Win 10 Laptop + Free Bag (6 Months WRTY),24799,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL6K0YAANAFAMZ-437251193&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
HP Refurbrished Elitebook 840 G1 has a 14.0-inch display. An Intel Core i5 4th gen 8GB DDR3 RAM 500gb hdd.windows 10 pro installed and activated,17000,
"Lenovo Renewed Lenovo 11e - 11.6"" Celeron 128GB SSD-4GB RAM",10400,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL32E0B5NAFAMZ-203175610&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED",15800,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2RQBHRNAFAMZ-202697448&return=%2Fcatalog%2F%3Fq%3Dlaptop%26page%3D2
"HP EliteBook 830 G5 Core I5 8250U 8GB 256GB -Refurbished-13.3""'.Silver",25999,
Lenovo 8GB 500GB Refurbished Thinkpad T440 Win 10 Activated Intel Core I5,17999,
